model_family,cv_balanced_accuracy,cv_recall,cv_f1,test_balanced_accuracy,test_precision,test_recall,test_f1,confusion_tn,confusion_fp,confusion_fn,confusion_tp,clinical_score
svc,0.8221569746485642,0.854679802955665,0.8442822384428224,0.848517455762793,0.8504672897196262,0.8921568627450981,0.8708133971291866,66,16,11,91,0.8747963475272242
svc_tuned,,0.8546522131887986,,0.848517455762793,0.8504672897196262,0.8921568627450981,0.8708133971291866,66,16,11,91,0.8747963475272242
random_forest,0.8179367415595338,0.8645320197044335,0.84375,0.8436154949784792,0.8490566037735849,0.8823529411764706,0.8653846153846154,66,16,12,90,0.8673380421587021
logistic_regression,0.8006352877568185,0.8177339901477833,0.8207663782447466,0.8167144906743184,0.8285714285714286,0.8529411764705882,0.8405797101449275,64,18,15,87,0.8396008774665751
